"State Name","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Alaska",0.135,0.146375624137762,0.146945281562103,0.139695317103448,0.142491416507512,0.144,0.139,0.134,0.136,0.129,0.119,0.108,0.107,0.128
"Alabama",0.178,0.192186568109238,0.194974118940438,0.185695920571096,0.18800626101377,0.188,0.177,0.165,0.163,0.17,0.161,0.145,0.148,0.174
"Arkansas",0.178,0.19181573422289,0.197142321303182,0.194304695179699,0.197430334060627,0.191,0.184,0.172,0.173,0.173,0.166,0.147,0.155,0.186
"Arizona",0.174,0.189733380087147,0.190904596294179,0.178471614487762,0.175261188804435,0.171,0.158,0.149,0.14,0.131,0.126,0.111,0.103,0.131
"California",0.167,0.171448974912905,0.174266829446063,0.162443683110756,0.149526820842282,0.139,0.125,0.117,0.11,0.108,0.102,0.091,0.105,0.126
"Colorado",0.143,0.155153294536757,0.155429295989131,0.14568058875985,0.139147481563073,0.129,0.122,0.113,0.106,0.099,0.098,0.083,0.092,0.115
"Connecticut",0.123,0.137827771476847,0.145320382080756,0.138833377386643,0.135800649596227,0.131,0.122,0.116,0.113,0.119,0.12,0.102,0.105,0.129
"District of Columbia",0.158,0.164595096723815,0.157153120732173,0.144767784818835,0.149957691944763,0.138,0.126,0.124,0.11,0.116,0.1,0.094,0.103,0.11
"Delaware",0.122,0.12774389871178,0.132306657774201,0.130303175690116,0.132120045498294,0.126,0.121,0.12,0.122,0.126,0.117,0.097,0.099,0.118
"Florida",0.171,0.191537311406702,0.186745489003776,0.178501765853756,0.169568543936795,0.162,0.151,0.139,0.134,0.13,0.12,0.106,0.106,0.132
"Georgia",0.178,0.199377364650633,0.200234126422155,0.188971813855823,0.187325732246068,0.177,0.162,0.151,0.144,0.125,0.12,0.109,0.107,0.131
"Hawaii",0.127,0.139554905651937,0.145547384729526,0.141692277526677,0.138128590495807,0.137,0.128,0.118,0.113,0.112,0.115,0.096,0.119,0.131
"Iowa",0.128,0.133867430324376,0.129190098059993,0.126775022721462,0.125953916883682,0.124,0.12,0.115,0.109,0.097,0.094,0.073,0.075,0.108
