"","state","year","fi"
"1","Alaska","2009",0.135
"2","Alaska","2010",0.146375624137762
"3","Alaska","2011",0.146945281562103
"4","Alaska","2012",0.139695317103448
"5","Alaska","2013",0.142491416507512
"6","Alaska","2014",0.144
"7","Alaska","2015",0.139
"8","Alaska","2016",0.134
"9","Alaska","2017",0.136
"10","Alaska","2018",0.129
"11","Alaska","2019",0.119
"12","Alaska","2020",0.108
"13","Alaska","2021",0.107
"14","Alaska","2022",0.128
"15","Alabama","2009",0.178
"16","Alabama","2010",0.192186568109238
"17","Alabama","2011",0.194974118940438
"18","Alabama","2012",0.185695920571096
"19","Alabama","2013",0.18800626101377
"20","Alabama","2014",0.188
"21","Alabama","2015",0.177
"22","Alabama","2016",0.165
"23","Alabama","2017",0.163
"24","Alabama","2018",0.17
"25","Alabama","2019",0.161
"26","Alabama","2020",0.145
"27","Alabama","2021",0.148
"28","Alabama","2022",0.174
"29","Arkansas","2009",0.178
"30","Arkansas","2010",0.19181573422289
"31","Arkansas","2011",0.197142321303182
"32","Arkansas","2012",0.194304695179699
"33","Arkansas","2013",0.197430334060627
"34","Arkansas","2014",0.191
"35","Arkansas","2015",0.184
"36","Arkansas","2016",0.172
"37","Arkansas","2017",0.173
"38","Arkansas","2018",0.173
"39","Arkansas","2019",0.166
"40","Arkansas","2020",0.147
"41","Arkansas","2021",0.155
"42","Arkansas","2022",0.186
"43","Arizona","2009",0.174
"44","Arizona","2010",0.189733380087147
"45","Arizona","2011",0.190904596294179
"46","Arizona","2012",0.178471614487762
"47","Arizona","2013",0.175261188804435
"48","Arizona","2014",0.171
"49","Arizona","2015",0.158
"50","Arizona","2016",0.149
"51","Arizona","2017",0.14
"52","Arizona","2018",0.131
"53","Arizona","2019",0.126
"54","Arizona","2020",0.111
"55","Arizona","2021",0.103
"56","Arizona","2022",0.131
"57","California","2009",0.167
"58","California","2010",0.171448974912905
"59","California","2011",0.174266829446063
"60","California","2012",0.162443683110756
"61","California","2013",0.149526820842282
"62","California","2014",0.139
"63","California","2015",0.125
"64","California","2016",0.117
"65","California","2017",0.11
"66","California","2018",0.108
"67","California","2019",0.102
"68","California","2020",0.091
"69","California","2021",0.105
"70","California","2022",0.126
"71","Colorado","2009",0.143
"72","Colorado","2010",0.155153294536757
"73","Colorado","2011",0.155429295989131
"74","Colorado","2012",0.14568058875985
"75","Colorado","2013",0.139147481563073
"76","Colorado","2014",0.129
"77","Colorado","2015",0.122
"78","Colorado","2016",0.113
"79","Colorado","2017",0.106
"80","Colorado","2018",0.099
"81","Colorado","2019",0.098
"82","Colorado","2020",0.083
"83","Colorado","2021",0.092
"84","Colorado","2022",0.115
"85","Connecticut","2009",0.123
"86","Connecticut","2010",0.137827771476847
"87","Connecticut","2011",0.145320382080756
"88","Connecticut","2012",0.138833377386643
"89","Connecticut","2013",0.135800649596227
"90","Connecticut","2014",0.131
"91","Connecticut","2015",0.122
"92","Connecticut","2016",0.116
"93","Connecticut","2017",0.113
"94","Connecticut","2018",0.119
"95","Connecticut","2019",0.12
"96","Connecticut","2020",0.102
"97","Connecticut","2021",0.105
"98","Connecticut","2022",0.129
"99","District of Columbia","2009",0.158
"100","District of Columbia","2010",0.164595096723815
"101","District of Columbia","2011",0.157153120732173
"102","District of Columbia","2012",0.144767784818835
"103","District of Columbia","2013",0.149957691944763
"104","District of Columbia","2014",0.138
"105","District of Columbia","2015",0.126
"106","District of Columbia","2016",0.124
"107","District of Columbia","2017",0.11
"108","District of Columbia","2018",0.116
"109","District of Columbia","2019",0.1
"110","District of Columbia","2020",0.094
"111","District of Columbia","2021",0.103
"112","District of Columbia","2022",0.11
"113","Delaware","2009",0.122
"114","Delaware","2010",0.12774389871178
"115","Delaware","2011",0.132306657774201
"116","Delaware","2012",0.130303175690116
"117","Delaware","2013",0.132120045498294
"118","Delaware","2014",0.126
"119","Delaware","2015",0.121
"120","Delaware","2016",0.12
"121","Delaware","2017",0.122
"122","Delaware","2018",0.126
"123","Delaware","2019",0.117
"124","Delaware","2020",0.097
"125","Delaware","2021",0.099
"126","Delaware","2022",0.118
"127","Florida","2009",0.171
"128","Florida","2010",0.191537311406702
"129","Florida","2011",0.186745489003776
"130","Florida","2012",0.178501765853756
"131","Florida","2013",0.169568543936795
"132","Florida","2014",0.162
"133","Florida","2015",0.151
"134","Florida","2016",0.139
"135","Florida","2017",0.134
"136","Florida","2018",0.13
"137","Florida","2019",0.12
"138","Florida","2020",0.106
"139","Florida","2021",0.106
"140","Florida","2022",0.132
"141","Georgia","2009",0.178
"142","Georgia","2010",0.199377364650633
"143","Georgia","2011",0.200234126422155
"144","Georgia","2012",0.188971813855823
"145","Georgia","2013",0.187325732246068
"146","Georgia","2014",0.177
"147","Georgia","2015",0.162
"148","Georgia","2016",0.151
"149","Georgia","2017",0.144
"150","Georgia","2018",0.125
"151","Georgia","2019",0.12
"152","Georgia","2020",0.109
"153","Georgia","2021",0.107
"154","Georgia","2022",0.131
"155","Hawaii","2009",0.127
"156","Hawaii","2010",0.139554905651937
"157","Hawaii","2011",0.145547384729526
"158","Hawaii","2012",0.141692277526677
"159","Hawaii","2013",0.138128590495807
"160","Hawaii","2014",0.137
"161","Hawaii","2015",0.128
"162","Hawaii","2016",0.118
"163","Hawaii","2017",0.113
"164","Hawaii","2018",0.112
"165","Hawaii","2019",0.115
"166","Hawaii","2020",0.096
"167","Hawaii","2021",0.119
"168","Hawaii","2022",0.131
